rank,app_id,title
1,com.blackdust.redblue,"냥찍 히어로즈 : 방치형 RPG"
2,com.ekkorr.ef2,"오늘도 환생 2 : 방치형 디펜스 RPG"
3,com.noriworks.gm,"고스톱M : 데이터 필요없는 맞고 게임"
4,com.mocacorp.tile,"타일 킹 - 트리플 매치"
5,com.oakever.meowdoku,"Meowdoku: 두뇌 퍼즐 게임"
6,com.mergegames.gossipharbor,"가십하버: 합성 & 스토리 게임"
7,com.mocacorp.sudoku,"스도쿠"
8,com.ecffri.arrows,"애로우즈 – 퍼즐 이스케이프 (Arrows)"
9,com.com2usholdings.starsailors.android.google.global.normal,"스타 세일러"
10,jp.pokemon.pokemonchampions,"Pokémon Champions"
11,com.Gameplete.CardFantasy,"트리플 판타지 : 카드 전략 수집형 RPG"
12,com.oakever.arrows,"Amaze GO! - 화살표 퍼즐"
13,com.kr.lfhsgp,"그레이 사가"
14,com.grandgames.magicsort,"매직 정렬!  (Magic Sort !)"
15,com.superpixel.undyinghero,"불사용사 키우기 : 방치형 RPG"
16,com.daerigame.rellion,"렐리온: NPC들의 생존기"
17,com.noriworks.kg,"국민 고스톱"
18,com.naddic.bbhero,"별별히어로 : RPG 맛집"
19,com.bhk.newslgkr,"삼국지: 천하결전"
20,jp.co.goodroid.hyper.busflow,"Bus Traffic Fever!"
21,com.block.juggle,"블록 블라스트 (Block Blast)"
22,com.fatmerge.global,"테이스티 트레블: 합성 게임"
23,com.nexon.fmk,"FC 모바일"
24,com.haegin.kbo,"2026 프로야구GO!"
25,com.run.tower.defense,"킹샷:Kingshot"
26,com.mobirix.ldwm,"수박 만들기 2048"
27,com.nianticlabs.pokemongo,"Pokémon GO"
28,com.roblox.client,"로블록스 (Roblox)"
29,jp.co.ponos.battlecatskr,"냥코 대전쟁"
30,com.funplus.ts.global,"타일 서바이벌"
31,com.dlw.kr.google,"시티 데몬헌터즈: 각성자들"
32,com.phs.global,"라스트 어사일럼: 페스트"
33,color.number.paint.pixle.art.sort.jigsaw,"Jewel Coloring"
34,com.puzzlegames.puzzlebrickslegend,"컬러블록: 콤보 블라스트(Color Block)"
35,com.xman.kr.gp,"X 클래시"
36,com.highbrow.games.dvo,"드래곤빌리지3"
37,com.soccer.score.star,"사커 슈퍼스타 (Soccer Superstar)"
38,com.nebula.mahjongtile,"마작 블래스트 (Mahjong Blast)"
39,com.dreamgames.royalkingdom,"로얄 킹덤 (Royal Kingdom)"
40,com.riftsky.mhg.kr.gp,"더 코지 플로리스트"
41,com.vitastudio.mahjong,"비타 마작(Vita Mahjong)"
42,com.pocket.sort.coin.puzzle.game,"포켓 정렬 (Pocket Sort): 동전 병합 퍼즐"
43,com.allstarunion.lastfurry,"라스트 퍼리: 서바이벌"
44,beats.color.sing.star.rush,"피아노타일9: 리듬게임 음악·노래·음악·케이팝"
45,com.mobirix.mgink,"마법의 잉크: 꾸미기 힐링 SNG"
46,net.gameduo.gv,"캣 히어로 : 방치형 RPG"
47,com.nexon.ma,"메이플 키우기"
48,com.dreamgames.royalmatch,"로얄 매치 Royal Match"
49,com.playrix.township,"꿈의 마을 (Township)"
50,com.cedargames.mysterytown,"미스터리 타운: 합성 게임 (Mystery Town)"
51,com.vizta.wg5,"오싹취재단：위기 탈출"
52,com.supercell.brawlstars,"브롤스타즈"
53,com.Chillgaming.oneState,"OneState RP: 온라인 롤플레잉"
54,com.leap.searchit,"Search It – 숨은그림찾기"
55,com.wood.block.sudoku.puzzle.bm,"Block Crush: 블록블라스트 퍼즐게임"
56,com.warrior.screw.gp,"나사 풀기 대작전"
57,com.chirpysort.game.android,"Chirpy Sort: Bird Color Puzzle"
58,com.gamedots.seasideescape,"씨사이드 익스케이프: 합성 & 스토리 게임"
59,pics.karaage.sokutaiho,"순찰중! 바로 체포!"
60,com.gof.global,"WOS: 화이트아웃 서바이벌"
61,com.oakever.tiletrip,"Tile Explorer - 트리플 매치"
62,com.unept.leveldevil,"Level Devil - NOT A Troll Game"
63,com.king.candycrushsaga,"캔디크러쉬사가 (Candy Crush Saga)"
64,com.epicoro.castleclashers,"Castle Busters"
65,word.games.puzzle.offline.games,"낱말퀴즈-단어&단어게임&두뇌 훈련&현실적인 게임"
66,com.superplaystudios.disneysolitairedreams,"Disney Solitaire"
67,easy.sudoku.puzzle.solver.free,"스도쿠 - 클래식 스도쿠 퍼즐"
68,com.abi.colony.flow,"Colony Flow"
69,com.sled.surfers.game,"Sled Surfers  - 슬로프 어드벤처"
70,com.youmusic.magictiles,"매직 타일 3: 피아노 게임 케이팝 노래"
71,find.difference.spot.differences.hidden.puzzle.games.free,"차이점 - 찾기 & 발견하기"
72,com.wildcaly.chbaseball.jkt,"MLB 클러치 히트 베이스볼 26"
73,com.merge.game.foodstars,"푸드스타: 합쳐서 요리하기"
74,com.yoyogames.love.makeover.dressup.dating.crush.game,"Love Makeover: 패션 스타일링"
75,com.pocketchamps.game,"포켓 챔프: 3D 레이싱 게임"
76,com.brain.logic.joygame,"Brain Puzzle 2: Logic Twist"
